,geoLocation,relativeDistance,AscensionNum,countryCode,continentCode
0,"武汉市, 一元街道, 江岸区, 湖北省, 430021, 中国",0.0,IVDC-HB-01,cn,AS
1,"浙江省, 中国",577.8233184668012,WZ-02,cn,AS
2,"武汉市, 一元街道, 江岸区, 湖北省, 430021, 中国",0.0,WH03,cn,AS
3,"重庆市, 渝中区 (Yuzhong), 重庆中心城区, 重庆市, 400015, 中国",754.4894027643531,YC01,cn,AS
4,United States,11406.681274993123,MA1,us,NA
5,Australia,6531.178473609907,QLD04,au,OC
6,"香港島 Hong Kong Island, 香港 Hong Kong, 中国",924.7727244549505,VB20024950-2,cn,AS
7,Italia,8612.950944345428,LOM-ASST-CDG1,it,EU
8,"Scotland, United Kingdom",8715.221803674902,CVR01,gb,EU
9,United States,11406.681274993123,CA-CDPH-UC1,us,NA
10,Nederland,8482.642646220407,Rotterdam_1363790,nl,EU
11,United States,11406.681274993123,CruiseA-2,us,NA
12,"潍坊市, 山东省, 中国",814.5110580619139,WF0002,cn,AS
13,"广东省, 中国",836.5901018814087,GD2020233-P0027,cn,AS
14,"广东省, 中国",836.5901018814087,GDSZ202009-P0032,cn,AS
15,United States,11406.681274993123,CA-CDPH-UC8,us,NA
16,United States,11406.681274993123,CA-CDPH-UC8,us,NA
17,"Scotland, United Kingdom",8715.221803674902,CVR02,gb,EU
18,Nederland,8482.642646220407,Limburg_6,nl,EU
19,Nederland,8482.642646220407,NoordBrabant_13,nl,EU
20,United States,11406.681274993123,CruiseA-24,us,NA
21,Deutschland,8290.067440661527,BY-BIM-Pat3,de,EU
22,Nederland,8482.642646220407,NoordBrabant_37,nl,EU
23,Chile,19465.12583422653,Talca-1,cl,SA
24,United States,11406.681274993123,WA-UW34,us,NA
25,United States,11406.681274993123,WA-UW34,us,NA
26,Suomi,6923.099694779077,FIN-266,fi,EU
27,"England, United Kingdom",8867.493844177403,20099107406,gb,EU
28,België / Belgique / Belgien,8658.929809902107,SH-03014,be,EU
29,Nederland,8482.642646220407,NA_17,nl,EU
30,Nederland,8482.642646220407,NA_9,nl,EU
31,Nederland,8482.642646220407,NoordBrabant_67,nl,EU
32,Canada,9129.4733398851,BC_02421,ca,NA
33,United States,11406.681274993123,WA-UW41,us,NA
34,"Scotland, United Kingdom",8715.221803674902,CVR10,gb,EU
35,"Cymru / Wales, United Kingdom",9014.840745538198,PHW37,gb,EU
36,"Cymru / Wales, United Kingdom",9014.840745538198,PHW29,gb,EU
37,Danmark,8045.341571755037,SSI-04,dk,EU
38,"上海市, 黄浦区, 200001, 中国",687.4754366097745,SH0029,cn,AS
39,"上海市, 黄浦区, 200001, 中国",687.4754366097745,SH0055,cn,AS
40,"上海市, 黄浦区, 200001, 中国",687.4754366097745,SH0091,cn,AS
41,Australia,6531.178473609907,VIC05,au,OC
42,United States,11406.681274993123,WA-UW82,us,NA
43,United States,11406.681274993123,WA-S8,us,NA
44,Polska,7697.002487782772,PL_P1,pl,EU
45,Australia,6531.178473609907,VIC08,au,OC
46,日本,2396.2127103130756,DP0104,jp,AS
47,日本,2396.2127103130756,DP0357,jp,AS
48,日本,2396.2127103130756,DP0763,jp,AS
49,United States,11406.681274993123,WA-UW110,us,NA
50,United States,11406.681274993123,OR-UW135,us,NA
51,United States,11406.681274993123,OR-UW135,us,NA
52,United States,11406.681274993123,WA-UW160,us,NA
53,United States,11406.681274993123,WA-UW185,us,NA
54,France,9084.674887057203,ARA-508,fr,EU
55,België / Belgique / Belgien,8658.929809902107,ULG-3662,be,EU
56,"香港島 Hong Kong Island, 香港 Hong Kong, 中国",924.7727244549505,VB20017970-2,cn,AS
57,United States,11406.681274993123,WA-S36,us,NA
58,United States,11406.681274993123,WA-S61,us,NA
59,United States,11406.681274993123,WA-S86,us,NA
60,United States,11406.681274993123,WA-S111,us,NA
61,United States,11406.681274993123,MN4-MDH4,us,NA
62,"England, United Kingdom",8867.493844177403,20102112102,gb,EU
63,"England, United Kingdom",8867.493844177403,20106005303,gb,EU
64,"England, United Kingdom",8867.493844177403,20109050706,gb,EU
65,"England, United Kingdom",8867.493844177403,20109097506,gb,EU
66,United States,11406.681274993123,CA-SCCPHD-UC14,us,NA
67,United States,11406.681274993123,WA-UW194,us,NA
68,United States,11406.681274993123,UN-UW219,us,NA
69,Australia,6531.178473609907,NSW35,au,OC
70,België / Belgique / Belgien,8658.929809902107,DHWM-03041,be,EU
71,United States,11406.681274993123,WA-UW234,us,NA
72,United States,11406.681274993123,MN36-MDH36,us,NA
73,United States,11406.681274993123,MN53-MDH53,us,NA
74,臺灣,988.4990144010466,CGMH-CGU-11,tw,AS
75,Ísland,8622.11091031505,171,is,EU
76,Ísland,8622.11091031505,246,is,EU
77,Ísland,8622.11091031505,271,is,EU
78,Ísland,8622.11091031505,295,is,EU
79,Ísland,8622.11091031505,320,is,EU
80,Ísland,8622.11091031505,76,is,EU
81,Ísland,8622.11091031505,206,is,EU
82,Ísland,8622.11091031505,182,is,EU
83,Ísland,8622.11091031505,69,is,EU
